Customer ID,Customer Name,Segment,Country,City,State,Region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East
JE-15745,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central
KB-16600,Joel Eaton,Consumer,United States,Memphis,Tennessee,South
SC-20770,Ken Brennan,Corporate,United States,Houston,Texas,Central
DN-13690,Joel Eaton,Consumer,United States,Houston,Texas,Central
JC-16105,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South
CS-12400,Duane Noonan,Consumer,United States,San Francisco,California,West
PG-18895,Julie Creighton,Corporate,United States,Durham,North Carolina,South
GM-14455,Christopher Schild,Home Office,United States,Chicago,Illinois,Central
JS-15685,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South
KB-16315,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central
RB-19705,Gary Mitchum,Home Office,United States,Houston,Texas,Central
PN-18775,Jim Sink,Corporate,United States,Los Angeles,California,West
KD-16345,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central
ER-13855,Roger Barcio,Home Office,United States,Portland,Oregon,West
RB-19465,Parhena Norris,Home Office,United States,New York City,New York,East
GZ-14470,Katherine Ducich,Consumer,United States,San Francisco,California,West
LC-16870,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central
JM-15250,Rick Bensley,Home Office,United States,Chicago,Illinois,Central
PA-19060,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central
CV-12805,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West
CL-12565,Janet Martin,Consumer,United States,Charlotte,North Carolina,South
RC-19960,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central
DK-13090,Cynthia Voltz,Corporate,United States,New York City,New York,East
GG-14650,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central
SC-20725,Ryan Crowe,Consumer,United States,Columbus,Ohio,East
AD-10180,Dave Kipp,Consumer,United States,Seattle,Washington,West
PF-19165,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South
TS-21610,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East
LS-16975,Alan Dominguez,Home Office,United States,Houston,Texas,Central
DW-13585,Philip Fox,Consumer,United States,Bloomington,Illinois,Central
LC-16885,Troy Staebel,Consumer,United States,Phoenix,Arizona,West
JD-15895,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West
SH-19975,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East
SG-20080,Lena Creighton,Consumer,United States,Roseville,California,West
HA-14920,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East
MG-17680,Sally Hughsby,Corporate,United States,San Francisco,California,West
JE-16165,Sandra Glassco,Consumer,United States,Independence,Missouri,Central
TW-21025,Helen Andreada,Consumer,United States,Pasadena,California,West
SP-20650,Maureen Gastineau,Home Office,United States,Newark,Ohio,East
