Customer ID,Customer Name,Segment,Country,City,State,Region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central
SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South
DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South
CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central
PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central
JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East
KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central
RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West
JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South
PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East
CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central
RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,West
GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central
PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,Central
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East
LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East
SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West
SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central
HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,West
MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,East
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central
TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West
SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,West
